[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-12-0.png → 200 (171ms, 12313B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-13-0.png → 200 (157ms, 9312B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-7-0.png → 200 (160ms, 10312B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-1-0.png → 200 (173ms, 10309B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-0-0.png → 200 (200ms, 10847B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-19-0.png → 200 (179ms, 11684B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-2-0.png → 200 (186ms, 11312B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-9-0.png → 200 (260ms, 11496B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-14-0.png → 200 (208ms, 11829B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-17-0.png → 200 (173ms, 10594B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-8-0.png → 200 (197ms, 10767B)
[2026-06-13T23:11:34.696Z] GET https://slippi.gg/images/characters/stock-icon-22-0.png → 200 (202ms, 10982B)
[2026-06-13T23:11:35.533Z] POST https://r.stripe.com/b → 200 (262ms, 211B)
[2026-06-13T23:11:38.307Z] POST https://region1.google-analytics.com/g/collect?v=2&tid=G-NPBRD7S7KW&gtm=45je66a1v9114334048za20g&_p=1781392293259&gcd=13l3l3l2l1l1&npa=1&dma_cps=a&dma=1&_eu=EAAIAAQ&are=1&cid=1514921236.1781392284&frm=0&ir=1&pscdl=noapi&rcb=7&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=27.0.0&uaw=0&ul=en-us&_s=1&tag_exp=115616986~115938465~115938468~119456239~119456247&sid=1781392283&sct=1&seg=1&dl=https%3A%2F%2Fslippi.gg%2Fleaderboards&dt=Slippi&en=page_view&tfd=5223 → pending (?ms, ?B)
[2026-06-13T23:11:38.311Z] GET https://js.stripe.com/v3/fingerprinted/js/trusted-types-checker-a86dcafd042e60cf7585cbabd57b0cdb.js → 200 (?ms, -705B)
